ID,x,y
0,0.91638756,0.91638756
1,3.48227215,0.91638756
2,6.04815722,0.91638756
3,8.61404228,0.91638756
4,11.17992783,0.91638756
5,13.74581242,0.91638756
6,16.31169701,0.91638756
7,0.91638756,3.48313403
8,6.04815722,3.48313403
9,11.17992783,3.48313403
10,16.31169701,3.48313403
11,0.91638756,6.04988003
12,3.48227215,5.08735085
13,6.04815722,6.04988003
14,8.61404228,5.08735085
15,11.17992783,6.04988003
16,13.74581242,5.08735085
17,16.31169701,6.04988003
18,0.91638756,8.61662674
19,3.48227215,9.57915592
20,6.04815722,8.61662674
21,8.61404228,9.57915592
22,11.17992783,8.61662674
23,13.74581242,9.57915592
24,16.31169701,8.61662674
25,0.91638756,11.18337250
26,6.04815722,11.18337250
27,11.17992783,11.18337250
28,16.31169701,11.18337250
29,0.91638756,13.75011921
30,3.48227215,13.75011921
31,6.04815722,13.75011921
32,8.61404228,13.75011921
33,11.17992783,13.75011921
34,13.74581242,13.75011921
35,16.31169701,13.75011921
