ID,x,y
0,44.61428452,20.68284988
1,40.26984024,16.33840179
2,34.12578964,16.33840179
3,29.78134346,20.68284988
4,29.78134346,26.82689667
5,34.12578964,31.17134476
6,40.26984024,31.17134476
7,44.61428452,26.82689667
8,52.26663589,20.60136414
9,50.08303070,15.32946014
10,45.62322998,10.86965847
11,40.35132599,8.68605328
12,34.04430389,8.68605328
13,28.77240181,10.86965847
14,24.31259918,15.32946014
15,22.12899399,20.60136414
16,22.12899399,26.90838242
17,24.31259918,32.18028641
18,28.77240181,36.64008713
19,34.04430389,38.82369232
20,40.35132599,38.82369232
21,45.62322998,36.64008713
22,50.08303070,32.18028641
23,52.26663589,26.90838242
24,57.64839554,19.47508621
25,54.68490601,12.32033634
26,48.63235092,6.26778030
27,41.47760010,3.30429268
28,32.91802979,3.30429268
29,25.76327896,6.26778030
30,19.71072197,12.32033634
31,16.74723434,19.47508621
32,16.74723434,28.03466034
33,19.71072197,35.18941116
34,25.76327896,41.24196625
35,32.91802979,44.20545197
36,41.47760010,44.20545197
37,48.63235092,41.24196625
38,54.68490601,35.18941116
39,57.64839554,28.03466034
40,63.03015900,18.34881020
41,59.28667831,9.31132317
42,15.10895157,9.31132317
43,11.36547279,18.34881020
44,11.36547279,29.16093636
45,15.10895157,38.19842529
46,22.75426483,45.84373474
47,31.79175186,49.58721542
48,42.60387802,49.58721542
49,51.64136505,45.84373474
50,59.28667831,38.19842529
51,63.03015900,29.16093636
52,68.41191864,17.22253418
53,63.88855743,6.30219841
54,10.50707436,6.30219841
55,5.98371315,17.22253418
56,5.98371315,30.28721237
57,10.50707436,41.20755005
58,19.74514008,50.44561386
59,30.66547394,54.96897507
60,43.73015594,54.96897507
61,54.65048981,50.44561386
62,63.88855743,41.20755005
63,68.41191864,30.28721237
