ID,x,y
72,3.05462456,3.05462456
73,11.60757446,3.05462456
74,20.16052437,3.05462456
75,28.71347427,3.05462456
76,37.26642609,3.05462456
77,45.81937408,3.05462456
78,54.37232208,3.05462456
79,3.05462456,11.61044693
80,20.16052437,11.61044693
81,37.26642609,11.61044693
82,54.37232208,11.61044693
83,3.05462456,20.1662674
84,11.60757446,16.95783424
85,20.16052437,20.1662674
86,28.71347427,16.95783424
87,37.26642609,20.1662674
88,45.81937408,16.95783424
89,54.37232208,20.1662674
90,3.05462456,28.72208786
91,11.60757446,31.93052101
92,20.16052437,28.72208786
93,28.71347427,31.93052101
94,37.26642609,28.72208786
95,45.81937408,31.93052101
96,54.37232208,28.72208786
97,3.05462456,37.27790833
98,20.16052437,37.27790833
99,37.26642609,37.27790833
100,54.37232208,37.27790833
101,3.05462456,45.8337326
102,11.60757446,45.8337326
103,20.16052437,45.8337326
104,28.71347427,45.8337326
105,37.26642609,45.8337326
106,45.81937408,45.8337326
107,54.37232208,45.8337326
